traj_id,jdt_ref,utc,shower_no,shower_code,la_sun,lst_ref,ra_g,dec_g,L_g,B_g,v_g,L_h,B_h,v_h,a,e,i,peri,node,pi,b,q,true_anomaly,mean_anomaly,QQ,n,T,Tj,re_norot,dec_norot,azimuth_apparent_norot,elevation_apparent_norot,v_init,v_avg,rbeg_lat,rbeg_lon,rbeg_ele,rend_lat,rend_lon,rend_ele,duration,peak_mag,peak_ht,f_param,mass,Qc,mfe,fov_beg,fov_end,stations_num,Stations
20221023193612_11n72,2459876.316807089,2022-10-23 19:36:12.132482,-1,...,210.064539,333.279054,135.37231,52.30879,121.54483,33.72378,58.51428,122.46933,60.04479,37.49558,2.350845,0.577029,119.933362,176.718168,210.063811,26.781979,2.843669,0.99434,3.281568,0.719121,3.70735,0.273444,3.60443,1.665974,135.07622,52.90839,11.2571,15.18649,59.61193,59.9085,51.156242,7.030413,112.1869,50.95673,6.967547,105.9825,0.4,1.33,109.0961,0.498,7.01e-06,50.25,60.92,1,1,2,"FR000Y,LU0001"
20221023193709_ikPr9,2459876.3174681235,2022-10-23 19:37:09.245871,17,NTA,210.065197,347.856566,46.69214,18.56525,49.43378,1.01659,35.16916,1.54425,0.93392,38.29732,2.802165,0.930983,1.955664,312.145652,210.060231,162.205884,-1.449884,0.193398,227.858669,352.316776,5.410932,0.210118,4.690739,2.392673,46.18174,19.3516,96.11501,36.14222,37.16177,35.03142,42.074612,21.369265,96.4464,42.089144,21.185197,85.1372,0.55,-0.44,87.614,0.781,0.00018,64.89,58.23,1,1,2,"BG0003,GR0002"
20221023193818_OJatT,2459876.318274542,2022-10-23 19:38:18.920448,-1,...,210.066,342.148607,275.92662,53.37204,285.29512,76.49494,19.75075,298.8933,29.16476,39.40897,3.853559,0.741909,29.169858,177.597019,210.065358,27.662377,1.170952,0.994569,2.402968,0.238783,6.712548,0.13029,7.564732,2.358098,281.34955,54.71333,306.40332,51.20673,22.49157,21.93069,45.449054,15.370186,92.3055,45.38108,15.500818,76.3068,0.92,-0.51,82.1261,0.636,0.000687,64.61,75.69,1,1,2,"HR000K,HR0025"
20221023194014_Gbq3t,2459876.319616354,2022-10-23 19:40:14.852992,-1,...,210.067337,329.704975,120.83895,43.67167,113.70546,22.73887,66.2782,106.83247,38.99238,40.71549,7.066687,0.864017,140.251416,202.133661,210.066369,52.200031,-13.940453,0.960949,337.865942,359.167854,13.172425,0.052466,18.785571,-0.165683,120.62683,44.1749,20.61272,8.06396,67.30401,67.40655,50.579311,2.442807,116.5893,49.61574,1.8856,101.1541,1.74,-1.82,107.9218,0.562,0.000372,18.17,40.04,1,1,6,"BE0005,BE0008,BE000C,BE000G,FR000A,FR000F"
20221023194107_f3iyW,2459876.320230087,2022-10-23 19:41:07.879499,-1,...,210.067948,332.980551,330.53718,6.80027,335.11667,17.63189,3.28623,304.06253,1.74996,32.6039,1.231657,0.203986,1.754206,203.948915,210.073856,54.022771,-0.711978,0.980416,336.044541,344.341142,1.482899,0.721057,1.366896,5.177474,333.02663,22.48501,179.90832,62.32822,11.59828,11.14556,50.156513,5.496535,73.3329,50.19671,5.496244,64.7174,0.89,-0.49,67.7127,0.652,0.00229,88.73,70.98,1,1,5,"BE0001,BE0004,BE000E,FR000F,FR000Y"
20221023194110_WLuUu,2459876.320262548,2022-10-23 19:41:10.684151,-1,...,210.06798,343.486361,122.63048,44.53061,114.85636,23.86826,66.98328,109.06967,40.58729,41.65969,18.579849,0.947605,138.887264,197.123966,210.067351,47.191317,-11.163357,0.973482,342.876059,359.850678,36.186217,0.012307,80.087349,-0.629392,122.27461,44.9385,28.02585,6.99485,68.0512,66.69328,44.926189,15.991174,113.0536,44.519221,15.688588,106.8742,0.78,-0.64,110.4444,0.422,7.48e-05,17.96,55.74,1,1,2,"HR000K,HR0025"
20221023194202_p5KGN,2459876.320860886,2022-10-23 19:42:02.380552,-1,...,210.068576,331.873948,206.90214,67.60091,148.33956,66.46966,41.12126,274.81836,65.57432,41.40834,12.924844,0.925513,67.66867,158.853769,210.068085,8.921853,19.493142,0.962734,21.145961,0.316713,24.886954,0.021211,46.466355,0.856197,208.17755,68.56629,337.56586,37.18598,42.50252,42.52834,51.668049,4.160307,106.4299,51.514215,4.262053,92.2069,0.56,0.85,93.9217,0.879,2.48e-05,49.94,56.14,1,1,2,"BE0009,BE000B"
20221023194243_6B3tH,2459876.3213366754,2022-10-23 19:42:43.488758,903,OAT,210.06905,333.140342,31.71702,29.23703,39.6503,15.40598,29.18369,348.22823,11.56981,38.65689,3.070375,0.863842,17.061214,284.537452,210.069101,134.606553,-16.499076,0.418055,255.461838,352.307824,5.722695,0.183197,5.380067,2.434813,30.96419,30.23372,92.51627,42.94651,31.44618,30.3755,50.281654,5.257186,96.5332,50.286325,5.086893,85.0924,0.56,1.58,91.486,0.441,3.62e-05,28.96,35.63,0,1,2,"BE0001,FR000Y"
20221023194323_5mlRc,2459876.3218054883,2022-10-23 19:43:23.994191,557,SFD,210.069517,331.674589,293.29168,73.4319,51.33809,79.60195,25.0776,309.47715,40.68739,37.83529,2.521833,0.613456,41.071335,198.777831,210.069128,48.846959,-12.209527,0.9748,341.221833,356.398179,4.068867,0.24611,4.004748,2.892572,298.47965,73.10478,339.38208,63.13744,27.38195,26.17061,50.375279,3.621888,84.1407,50.347292,3.638281,77.4945,0.29,0.68,81.1557,0.449,4.85e-05,87.82,29.88,1,1,6,"BE0003,BE0005,BE0008,BE000C,BE000D,BE000E"
20221023194548_xtrf2,2459876.3234777832,2022-10-23 19:45:48.480472,-1,...,210.071183,332.589454,302.30634,49.45072,329.83878,66.30622,16.08,305.98007,22.38895,38.65873,3.071869,0.679743,22.496653,193.512874,210.07111,43.583984,-5.129474,0.983788,346.48654,358.096012,5.15995,0.183063,5.383996,2.735403,306.26686,50.23891,278.16036,73.35087,19.45697,17.7619,50.85571,3.933082,95.1936,50.85339,3.958479,89.036,0.37,2.66,91.508,0.599,2.29e-05,30.2,48.08,1,1,3,"BE000B,BE000C,BE000G"
